episode,epsilon,reward,loss,steps,time
1,1.0,-21.0,1.3390645083782147,206,2.106785774230957
2,1.0,-21.0,0.39872194366398617,207,1.0702099800109863
3,1.0,-21.0,0.17946519856559462,206,1.0683133602142334
4,1.0,-21.0,0.15307689340988873,222,1.2434749603271484
5,1.0,-20.0,0.20986262332371552,225,1.2527692317962646
6,1.0,-21.0,0.30617393368447665,238,1.4384136199951172
7,1.0,-21.0,0.1775904381502187,206,1.2920348644256592
8,1.0,-21.0,0.13410118594765663,207,1.1759207248687744
9,1.0,-21.0,0.1942281009760336,207,1.154153823852539
10,1.0,-20.0,1.2299135085449961,260,1.53458833694458
11,1.0,-20.0,0.4845821321941912,231,1.2535605430603027
12,1.0,-21.0,0.3878290764405392,252,1.456998348236084
13,1.0,-21.0,0.2468232561077457,229,1.2995054721832275
14,1.0,-21.0,0.20513139983813744,206,1.0995264053344727
15,1.0,-21.0,0.16011974788852967,198,1.0914826393127441
16,1.0,-21.0,0.1893596283334773,198,1.0681796073913574
17,1.0,-21.0,0.1134052877278009,191,1.0662391185760498
18,1.0,-20.0,0.13693183797295205,211,1.1453688144683838
19,1.0,-20.0,0.9222534114305745,276,1.538970708847046
20,1.0,-21.0,0.6456675002991688,222,1.276120662689209
21,1.0,-21.0,0.4208898397919256,198,1.142650842666626
22,1.0,-20.0,0.5105539711585152,276,2.0154247283935547
23,1.0,-21.0,0.3299457945249742,214,1.2354826927185059
24,1.0,-20.0,0.22883939747407567,231,1.282158374786377
25,1.0,-19.0,0.29508393886499107,235,1.332077980041504
26,1.0,-21.0,0.17273761717660818,222,1.2121593952178955
27,1.0,-20.0,0.2638447398348944,236,1.3514046669006348
28,1.0,-21.0,0.8833307355744182,191,1.4113390445709229
29,1.0,-21.0,0.7610828520264477,191,1.190546989440918
30,1.0,-21.0,0.5390101270168088,237,1.443220615386963
31,1.0,-21.0,0.38973207320668735,222,1.2711105346679688
32,1.0,-21.0,0.27549485143390484,207,1.1281664371490479
33,1.0,-21.0,0.16871711309067905,191,1.2208137512207031
34,1.0,-21.0,0.19715996718150564,207,1.222391128540039
35,1.0,-20.0,0.3497888843121473,260,1.3909046649932861
36,1.0,-21.0,0.16990444168186514,191,1.0970532894134521
37,1.0,-21.0,0.15428465929289814,191,1.2020046710968018
38,1.0,-21.0,1.28457641582645,222,1.5512423515319824
39,1.0,-21.0,0.7010263823904097,191,1.2437314987182617
40,1.0,-20.0,0.6643279957352206,215,1.1217234134674072
41,1.0,-20.0,0.4415130060806405,231,1.2348825931549072
42,1.0,-21.0,0.2545819613005733,191,1.0877790451049805
43,1.0,-21.0,0.18684474047040567,191,1.0288965702056885
44,1.0,-21.0,0.26899593544658273,222,1.1495203971862793
45,1.0,-20.0,0.2402091717813164,230,1.2219157218933105
46,1.0,-21.0,0.12584606019663624,191,0.9983973503112793
47,1.0,-21.0,0.23315860591537785,221,1.3552780151367188
48,1.0,-21.0,1.4828558190783951,206,1.3082680702209473
49,1.0,-20.0,0.7465781011851504,245,1.3593745231628418
50,1.0,-21.0,0.4477180663961917,222,1.2151768207550049
51,1.0,-21.0,0.2924877491313964,206,1.1644845008850098
52,1.0,-21.0,0.3571811565198004,221,1.1823625564575195
53,1.0,-21.0,0.2564095918496605,222,1.2135539054870605
54,1.0,-20.0,0.34337903861887753,246,1.3563601970672607
55,1.0,-21.0,0.3151179302367382,238,1.2985756397247314
56,1.0,-21.0,0.29787008369748946,214,1.1780989170074463
57,1.0,-21.0,1.3321011839725543,222,1.283888816833496
58,1.0,-21.0,0.5829266252694651,191,1.0967187881469727
59,1.0,-21.0,0.4011657827941235,191,1.094452142715454
60,1.0,-20.0,0.4067266351194121,226,1.3099751472473145
61,1.0,-21.0,0.3054433022043668,206,1.208482027053833
62,1.0,-21.0,0.28853020023962017,222,1.3311915397644043
63,1.0,-21.0,0.3797978166549001,237,1.3260986804962158
64,1.0,-20.0,0.3226636173494626,230,1.3862907886505127
65,1.0,-20.0,0.31999080679088365,241,1.3200011253356934
66,1.0,-21.0,0.7825181899243034,191,1.0894553661346436
67,1.0,-21.0,1.221485000103712,237,1.4090662002563477
68,1.0,-21.0,0.6384145647170953,244,1.40146803855896
69,1.0,-21.0,0.37510271195787936,222,1.4226338863372803
70,1.0,-21.0,0.31391030590748414,222,1.3890442848205566
71,1.0,-21.0,0.22890000202460214,191,1.079341173171997
72,1.0,-21.0,0.26032106520142406,207,1.247410535812378
73,1.0,-21.0,0.23550885725126136,206,1.3443665504455566
74,1.0,-21.0,0.18277660265448503,191,1.1205275058746338
75,1.0,-20.0,0.26614044164307415,215,1.2528061866760254
76,1.0,-20.0,1.3267458243644796,227,1.2254555225372314
77,1.0,-21.0,0.8348065325990319,212,1.2317326068878174
78,1.0,-21.0,0.6928419594769366,237,1.4060025215148926
79,1.0,-21.0,0.4774956515757367,229,1.2584962844848633
80,1.0,-20.0,0.4643632822553627,231,1.417639970779419
81,1.0,-20.0,0.4809862545807846,241,1.397479772567749
82,1.0,-21.0,0.48864313508966006,252,1.4808261394500732
83,1.0,-20.0,0.3568039673846215,241,1.482823133468628
84,1.0,-21.0,0.24476812474313192,207,1.1942477226257324
85,1.0,-19.0,1.7257854478084482,254,1.534191608428955
86,1.0,-21.0,0.7711781627731398,206,1.2255797386169434
87,1.0,-20.0,0.6352556091733277,242,1.3968567848205566
88,1.0,-21.0,0.38413267774740234,207,1.1990289688110352
89,1.0,-21.0,0.3642068546032533,206,1.094956398010254
90,1.0,-21.0,0.2662056656263303,207,1.1468932628631592
91,1.0,-21.0,0.21743346165749244,191,1.1413500308990479
92,1.0,-21.0,0.4014637506043073,268,1.4836156368255615
93,1.0,-21.0,0.3016152924974449,237,1.5165190696716309
94,1.0,-21.0,1.2718012862605974,222,1.5008502006530762
95,1.0,-21.0,0.9472923944704235,252,1.8657429218292236
96,1.0,-21.0,0.7190778981894255,237,1.3365275859832764
97,1.0,-21.0,0.40674928697990254,198,1.058614730834961
98,1.0,-21.0,0.5606456318346318,244,1.4394521713256836
99,1.0,-21.0,0.26469296743744053,191,1.0457496643066406
100,1.0,-20.0,0.5080849154037423,262,1.4630107879638672
101,1.0,-21.0,0.32239665975794196,237,1.406872272491455
102,1.0,-21.0,0.3009767920593731,206,1.2184734344482422
103,1.0,-21.0,1.4096310941968113,221,1.2464640140533447
104,1.0,-21.0,1.0438658957718872,252,1.535754919052124
105,1.0,-20.0,0.6156796254799701,230,1.7225544452667236
106,1.0,-21.0,0.49615005106898025,222,1.19514799118042
107,1.0,-21.0,0.5011742765782401,237,1.3515172004699707
108,1.0,-21.0,0.3685581930621993,222,1.2628774642944336
109,1.0,-19.0,0.47003645135555416,235,1.3204267024993896
110,1.0,-20.0,0.4260671275551431,245,1.4856066703796387
111,1.0,-21.0,0.5577928830171004,229,1.297208547592163
112,1.0,-20.0,1.6505652410560288,230,1.3810596466064453
113,1.0,-19.0,1.2031025865580887,255,1.3565058708190918
114,1.0,-19.0,0.9124586235848255,250,1.3422706127166748
115,1.0,-21.0,0.5532832817989402,221,1.272038221359253
116,1.0,-21.0,0.39052631752565503,191,1.0095999240875244
117,1.0,-21.0,0.48771542494068854,222,1.177577257156372
118,1.0,-19.0,0.5597049361676909,250,1.3328731060028076
119,1.0,-21.0,0.44619451015023515,222,1.1743566989898682
120,1.0,-21.0,0.34447491233004257,206,1.1190671920776367
121,1.0,-21.0,1.7501089734141715,206,1.0967202186584473
122,1.0,-21.0,1.0335545514826663,222,1.1202747821807861
123,1.0,-21.0,0.6384743849048391,191,1.0220868587493896
124,1.0,-21.0,0.5183050459017977,207,1.1128020286560059
